ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,approaches,date_approach,is_NHATS,is_geometry,n_backup,familiar,delta_H
612358 (2002 JE9),21.40,.4165445167490037,1.065974468248394,.6219486485050908,8.773170825531963,199.8257303017776,255.8950663840932,1.510000287991698,201.6630303490469,1.10059720720273,.00641621,0,,,0,Y,2010.115647253616,10.940633818836895,2.0,2031-09-17,False,False,0.0,-,999.0
612509 (2002 UK11),21.89,.5753423346837079,1.323612440306426,.562082168684127,5.366106270751521,69.18329205010991,84.5407014792592,2.085142711928725,107.2960549328373,1.52282312340606,.0118533,0,,8,0,Y,4466.530810939956,2.912692754454419,1.0,2034-11-13,False,False,2.0,286080 (2001 TX1),0.6500000000000021
612760 (2004 EO20),22.30,.05502155332142996,1.219314303004295,1.152225736065962,4.542209075120823,179.7970608518661,84.02750497239741,1.286402869942628,18.39715707091922,1.34642356698289,.162012,0,,,0,N,2460.841206874112,3.88663963802841,1.0,2031-06-10,True,False,0.0,-,999.0
612786 (2004 PJ2),21.57,.3421029118625901,1.41796519400945,.9328751722190148,2.577056352945886,317.1046511855891,281.7784018276996,1.903055215799886,23.9879850041279,1.68852135718308,.0233142,0,,,0,Y,1582.0065370477705,2.452387772096512,1.0,2031-07-26,False,False,2.0,(2013 FX7),0.05999999999999872
612970 (2005 HN3),21.15,.3356765330651177,.8553598745324988,.5682356373264156,7.900156758589137,59.33950659416924,6.2764926614343,1.142484111738582,349.8558837235448,0.791100232815954,.0793128,0,,,0,N,3762.2197115052727,3.786984751012071,1.0,2032-07-04,False,False,0.0,-,999.0
613471 (2006 RJ1),22.27,.3004447489655151,.9505723711577576,.6649778937317107,1.414452302854863,93.4369786940043,110.3454420533198,1.236166848583804,314.5986424833816,0.926799910143471,.00128794,0,,,0,N,1358.5590959090882,12.661185416028642,2.0,2031-08-16,False,False,2.0,501243 (2013 VG13),0.5399999999999991
613569 (2006 TU7),21.95,.470325369114803,.8512765529268783,.4508995939527671,2.950318851780557,91.34585969178998,69.22017309069457,1.25165351190099,242.7313591811753,0.785442161043589,.0234929,0,,,0,Y,3142.3680029923153,3.660747912376005,1.0,2031-07-30,False,False,0.0,-,999.0
613726 (2007 EF),21.34,.4101221748114579,.8203100312593924,.4838826972196354,21.73453899727568,158.3390867116836,226.0444618955556,1.156737365299149,348.5154878409834,0.742976771031469,.0241044,0,,,0,Y,3464.142559818828,2.890698922479245,1.0,2033-03-04,False,False,0.0,-,999.0
613829 (2007 TE66),21.57,.2044360136665991,1.055615679122843,.8398098177190093,10.24768941806513,195.677674164402,355.342677711633,1.271421540526677,91.33551980370501,1.08459338310687,.157912,0,,,0,N,4501.764814460752,12.821255555374393,2.0,2033-01-13,False,False,0.0,-,999.0
614134 (2008 TC4),21.65,.5544048553594154,.7803528033335048,.3477214202720787,10.64624077434402,212.5363584386563,324.3549611371065,1.212984186394931,320.8579020460782,0.68935780099398,.00328392,0,,,0,Y,2528.888969692397,2.219137654831696,1.0,2032-08-17,False,False,2.0,(2011 TX8),0.3500000000000014
666241 (2010 BK2),22.04,.4478773606543847,.9042419839606157,.4992524707914507,6.047174786988312,278.0075100935381,72.66404318923432,1.309231497129781,133.5752349641746,0.859874764386945,.0325822,0,,,0,N,4917.431860234265,6.136473281382537,1.0,2030-04-28,False,False,0.0,-,999.0
667303 (2011 FR29),21.55,.3463405491694244,1.057326176466583,.6911312478579391,3.620501241208682,214.9805020165721,176.1671440113154,1.423521105075227,296.5686001533886,1.08723062902511,.0609687,0,,,0,N,2149.444576898359,12.46386322299869,1.0,2033-07-03,True,False,2.0,(2008 PW4),0.870000000000001
673675 (2015 FM34),22.50,.5768491937568616,2.082199562519905,.8810844236394081,4.679650434496659,140.0859981568065,350.500625788375,3.283314701400403,81.62128677235775,3.00463504644993,.0468735,0,,,0,N,2041.2301080094244,1.498843917635248,2.0,2033-03-26,False,False,0.0,-,999.0
